escalation_id,placement_id,client_id,category,severity,date_raised,resolved,resolution_date
ESC-00001,PL-00001,CL-0085,Communication,Low,2026-07-20,True,2026-07-24
ESC-00002,PL-00001,CL-0085,Technical / Access,Medium,2026-06-25,True,2026-06-29
ESC-00003,PL-00002,CL-0074,Attendance,Low,2026-07-02,True,2026-07-06
ESC-00004,PL-00002,CL-0074,Communication,Medium,2026-06-17,True,2026-06-25
ESC-00005,PL-00002,CL-0074,Performance,Medium,2026-05-10,True,2026-05-19
ESC-00006,PL-00003,CL-0072,Communication,Low,2025-06-01,True,2025-06-02
ESC-00007,PL-00004,CL-0014,Attendance,Low,2026-06-24,True,2026-06-27
ESC-00008,PL-00004,CL-0014,Billing Dispute,Low,2026-04-12,True,2026-04-15
ESC-00009,PL-00005,CL-0064,Billing Dispute,Low,2026-08-24,False,
ESC-00010,PL-00008,CL-0058,Technical / Access,Medium,2026-03-09,False,
ESC-00011,PL-00008,CL-0058,Attendance,Low,2026-08-15,True,2026-08-19
ESC-00012,PL-00013,CL-0066,Performance,Low,2026-02-03,True,2026-02-06
ESC-00013,PL-00013,CL-0066,Performance,Low,2026-08-17,True,2026-08-21
ESC-00014,PL-00013,CL-0066,Communication,High,2026-03-18,True,2026-03-29
ESC-00015,PL-00013,CL-0066,Communication,Low,2025-12-23,True,2025-12-28
ESC-00016,PL-00013,CL-0066,Technical / Access,Medium,2026-04-12,True,2026-04-16
ESC-00017,PL-00014,CL-0008,Attendance,Low,2026-05-27,True,2026-05-31
ESC-00018,PL-00014,CL-0008,Performance,Low,2026-05-24,False,
ESC-00019,PL-00014,CL-0008,Performance,Medium,2026-04-11,False,
ESC-00020,PL-00014,CL-0008,Attendance,Medium,2025-09-01,True,2025-09-04
ESC-00021,PL-00014,CL-0008,Attendance,High,2026-02-12,True,2026-02-18
ESC-00022,PL-00016,CL-0046,Performance,High,2026-05-06,True,2026-05-27
ESC-00023,PL-00016,CL-0046,Attendance,Medium,2026-05-20,False,
ESC-00024,PL-00016,CL-0046,Attendance,Low,2026-06-09,True,2026-06-14
ESC-00025,PL-00016,CL-0046,Communication,Low,2026-03-23,False,
ESC-00026,PL-00017,CL-0031,Performance,Medium,2026-05-25,True,2026-06-04
ESC-00027,PL-00018,CL-0041,Communication,High,2026-04-21,True,2026-04-27
ESC-00028,PL-00020,CL-0050,Attendance,Low,2026-05-08,True,2026-05-10
ESC-00029,PL-00020,CL-0050,Communication,Low,2026-03-10,True,2026-03-11
ESC-00030,PL-00020,CL-0050,Communication,Low,2026-05-24,True,2026-05-25
ESC-00031,PL-00020,CL-0050,Performance,Low,2026-07-01,True,2026-07-06
ESC-00032,PL-00020,CL-0050,Technical / Access,Low,2026-03-23,True,2026-03-24
ESC-00033,PL-00022,CL-0017,Performance,Low,2026-01-18,True,2026-01-23
ESC-00034,PL-00022,CL-0017,Performance,High,2026-02-14,True,2026-02-25
ESC-00035,PL-00022,CL-0017,Performance,Low,2026-04-08,True,2026-04-12
ESC-00036,PL-00023,CL-0019,Attendance,Low,2026-05-29,True,2026-06-03
ESC-00037,PL-00023,CL-0019,Performance,Low,2026-02-22,True,2026-02-24
ESC-00038,PL-00024,CL-0018,Billing Dispute,Medium,2026-04-04,True,2026-04-12
ESC-00039,PL-00024,CL-0018,Attendance,Medium,2026-04-09,True,2026-04-14
ESC-00040,PL-00024,CL-0018,Billing Dispute,Low,2026-07-08,True,2026-07-11
ESC-00041,PL-00024,CL-0018,Technical / Access,Medium,2026-08-12,True,2026-08-18
ESC-00042,PL-00024,CL-0018,Performance,Low,2026-08-19,True,2026-08-20
ESC-00043,PL-00025,CL-0059,Technical / Access,Low,2026-08-17,True,2026-08-19
ESC-00044,PL-00025,CL-0059,Billing Dispute,Low,2025-10-06,False,
ESC-00045,PL-00027,CL-0058,Performance,Low,2026-03-17,True,2026-03-19
ESC-00046,PL-00027,CL-0058,Billing Dispute,Medium,2026-03-19,True,2026-03-26
ESC-00047,PL-00027,CL-0058,Communication,Low,2026-06-11,True,2026-06-15
ESC-00048,PL-00027,CL-0058,Billing Dispute,Low,2026-08-21,True,2026-08-23
ESC-00049,PL-00028,CL-0064,Performance,Low,2026-08-26,False,
ESC-00050,PL-00030,CL-0015,Communication,Medium,2025-12-24,True,2025-12-29
ESC-00051,PL-00030,CL-0015,Communication,Low,2026-04-05,True,2026-04-10
ESC-00052,PL-00030,CL-0015,Attendance,Medium,2025-08-28,True,2025-09-01
ESC-00053,PL-00032,CL-0036,Performance,Medium,2026-07-11,True,2026-07-18
ESC-00054,PL-00032,CL-0036,Communication,Low,2026-02-18,True,2026-02-23
ESC-00055,PL-00032,CL-0036,Attendance,Medium,2025-12-22,True,2025-12-26
ESC-00056,PL-00032,CL-0036,Communication,Low,2026-07-06,True,2026-07-11
ESC-00057,PL-00035,CL-0075,Technical / Access,Medium,2026-06-24,True,2026-06-30
ESC-00058,PL-00036,CL-0069,Billing Dispute,Medium,2026-04-04,True,2026-04-08
ESC-00059,PL-00037,CL-0061,Attendance,Medium,2026-06-09,True,2026-06-19
ESC-00060,PL-00037,CL-0061,Performance,Low,2026-05-02,True,2026-05-03
ESC-00061,PL-00039,CL-0073,Billing Dispute,Low,2026-04-11,True,2026-04-14
ESC-00062,PL-00039,CL-0073,Performance,Medium,2026-05-21,True,2026-05-29
ESC-00063,PL-00041,CL-0080,Communication,Medium,2026-06-01,True,2026-06-11
ESC-00064,PL-00041,CL-0080,Billing Dispute,Low,2026-01-06,True,2026-01-07
ESC-00065,PL-00042,CL-0017,Attendance,Low,2026-08-19,True,2026-08-21
ESC-00066,PL-00043,CL-0033,Communication,High,2025-11-30,True,2025-12-08
ESC-00067,PL-00044,CL-0015,Communication,Low,2025-07-12,False,
