placement_id,candidate_id,client_id,role,region,hourly_rate,start_date,end_date,status,end_reason
PL-00001,CND-00022,CL-0085,Lawyer,Mexico,18.53,2026-02-16,,Active,
PL-00002,CND-00047,CL-0074,Paralegal,Mexico,20.29,2026-02-07,2026-08-08,Ended,Staff Resigned
PL-00003,CND-00071,CL-0072,Paralegal,Colombia,20.13,2025-05-11,2026-01-03,Ended,Client Budget Cut
PL-00004,CND-00075,CL-0014,Receptionist,Argentina,19.6,2026-03-16,,Active,
PL-00005,CND-00077,CL-0064,Legal Assistant,Colombia,12.45,2026-07-07,,Active,
PL-00006,CND-00084,CL-0075,Case Manager,South Africa,20.98,2026-08-28,,Active,
PL-00007,CND-00102,CL-0001,Legal Assistant,Mexico,19.45,2025-12-30,,Active,
PL-00008,CND-00128,CL-0058,Legal Assistant,Colombia,14.56,2026-02-20,,Active,
PL-00009,CND-00146,CL-0058,Intake Specialist,Colombia,13.55,2026-08-09,,Active,
PL-00010,CND-00155,CL-0041,Paralegal,Argentina,14.65,2026-06-25,,Active,
PL-00011,CND-00159,CL-0039,Legal Assistant,Colombia,21.14,2026-08-14,,Active,
PL-00012,CND-00164,CL-0045,Lawyer,Colombia,17.62,2026-05-10,,Active,
PL-00013,CND-00180,CL-0066,Legal Assistant,South Africa,20.4,2025-12-04,,Active,
PL-00014,CND-00201,CL-0008,Executive Assistant,Philippines,20.96,2025-08-17,,Active,
PL-00015,CND-00206,CL-0001,Executive Assistant,Peru,18.89,2026-05-08,,Active,
PL-00016,CND-00210,CL-0046,Legal Assistant,South Africa,20.54,2026-01-16,,Active,
PL-00017,CND-00216,CL-0031,Lawyer,Mexico,18.87,2026-05-14,,Active,
PL-00018,CND-00235,CL-0041,Bookkeeper,Colombia,18.97,2026-04-10,,Active,
PL-00019,CND-00287,CL-0056,Legal Assistant,Colombia,13.72,2026-05-04,2026-06-20,Ended,Client Budget Cut
PL-00020,CND-00288,CL-0050,Legal Assistant,Argentina,20.35,2026-02-28,,Active,
PL-00021,CND-00296,CL-0054,Bookkeeper,Mexico,14.53,2026-07-01,,Active,
PL-00022,CND-00301,CL-0017,Paralegal,Peru,11.62,2025-12-13,,Active,
PL-00023,CND-00318,CL-0019,Legal Assistant,Colombia,18.41,2025-12-07,,Active,
PL-00024,CND-00319,CL-0018,Case Manager,Colombia,12.94,2026-03-17,,Active,
PL-00025,CND-00374,CL-0059,Intake Specialist,Argentina,21.27,2025-09-21,,Active,
PL-00026,CND-00405,CL-0059,Paralegal,Peru,16.85,2026-08-12,,Active,
PL-00027,CND-00446,CL-0058,Legal Assistant,Peru,15.23,2026-02-18,2026-08-21,Ended,Client Budget Cut
PL-00028,CND-00460,CL-0064,Case Manager,Philippines,18.98,2026-07-10,2026-08-26,Ended,Staff Resigned
PL-00029,CND-00495,CL-0005,Paralegal,Argentina,17.47,2026-08-01,,Active,
PL-00030,CND-00497,CL-0015,Lawyer,Philippines,16.56,2025-05-21,,Active,
