task_id,report_name,owner,due_date,completed_date,status,on_time
TSK-00001,Weekly Leadership Dashboard,Data Analyst,2025-08-29,2025-08-29,Completed,True
TSK-00002,Close Rate Tracker,Data Analyst,2025-08-29,2025-08-28,Completed,True
TSK-00003,Retention Cohort Report,Data Analyst,2025-08-29,2025-08-28,Completed,True
TSK-00004,Escalation Log Review,Data Analyst,2025-08-29,2025-08-30,Completed,True
TSK-00005,Recruiter Funnel Snapshot,Data Analyst,2025-08-29,2025-08-30,Completed,True
TSK-00006,Monthly Client Health Report,Ops Lead,2025-08-29,2025-08-28,Completed,True
TSK-00007,Weekly Leadership Dashboard,Data Analyst,2025-09-05,2025-09-08,Completed,False
TSK-00008,Close Rate Tracker,Data Analyst,2025-09-05,2025-09-06,Completed,True
TSK-00009,Retention Cohort Report,Data Analyst,2025-09-05,2025-09-06,Completed,True
TSK-00010,Escalation Log Review,Data Analyst,2025-09-05,2025-09-08,Completed,False
TSK-00011,Recruiter Funnel Snapshot,Data Analyst,2025-09-05,2025-09-04,Completed,True
TSK-00012,Monthly Client Health Report,Ops Lead,2025-09-05,2025-09-05,Completed,True
TSK-00013,Weekly Leadership Dashboard,Data Analyst,2025-09-12,2025-09-12,Completed,True
TSK-00014,Close Rate Tracker,Data Analyst,2025-09-12,2025-09-11,Completed,True
TSK-00015,Retention Cohort Report,Data Analyst,2025-09-12,2025-09-12,Completed,True
TSK-00016,Escalation Log Review,Data Analyst,2025-09-12,2025-09-13,Completed,True
TSK-00017,Recruiter Funnel Snapshot,Data Analyst,2025-09-12,2025-09-17,Completed,False
TSK-00018,Monthly Client Health Report,Ops Lead,2025-09-12,2025-09-13,Completed,True
TSK-00019,Weekly Leadership Dashboard,Data Analyst,2025-09-19,2025-09-23,Completed,False
TSK-00020,Close Rate Tracker,Data Analyst,2025-09-19,2025-09-19,Completed,True
TSK-00021,Retention Cohort Report,Data Analyst,2025-09-19,2025-09-20,Completed,True
TSK-00022,Escalation Log Review,Data Analyst,2025-09-19,2025-09-18,Completed,True
TSK-00023,Recruiter Funnel Snapshot,Data Analyst,2025-09-19,2025-09-19,Completed,True
TSK-00024,Monthly Client Health Report,Ops Lead,2025-09-19,2025-09-19,Completed,True
TSK-00025,Weekly Leadership Dashboard,Data Analyst,2025-09-26,2025-09-30,Completed,False
TSK-00026,Close Rate Tracker,Data Analyst,2025-09-26,2025-09-28,Completed,False
TSK-00027,Retention Cohort Report,Data Analyst,2025-09-26,2025-09-26,Completed,True
TSK-00028,Escalation Log Review,Data Analyst,2025-09-26,2025-09-25,Completed,True
TSK-00029,Recruiter Funnel Snapshot,Data Analyst,2025-09-26,2025-09-25,Completed,True
TSK-00030,Monthly Client Health Report,Ops Lead,2025-09-26,2025-09-27,Completed,True
TSK-00031,Weekly Leadership Dashboard,Data Analyst,2025-10-03,2025-10-03,Completed,True
TSK-00032,Close Rate Tracker,Data Analyst,2025-10-03,2025-10-09,Completed,False
TSK-00033,Retention Cohort Report,Data Analyst,2025-10-03,2025-10-08,Completed,False
TSK-00034,Escalation Log Review,Data Analyst,2025-10-03,2025-10-03,Completed,True
TSK-00035,Recruiter Funnel Snapshot,Data Analyst,2025-10-03,2025-10-02,Completed,True
TSK-00036,Monthly Client Health Report,Ops Lead,2025-10-03,2025-10-02,Completed,True
TSK-00037,Weekly Leadership Dashboard,Data Analyst,2025-10-10,2025-10-09,Completed,True
TSK-00038,Close Rate Tracker,Data Analyst,2025-10-10,2025-10-16,Completed,False
TSK-00039,Retention Cohort Report,Data Analyst,2025-10-10,2025-10-10,Completed,True
TSK-00040,Escalation Log Review,Data Analyst,2025-10-10,2025-10-11,Completed,True
TSK-00041,Recruiter Funnel Snapshot,Data Analyst,2025-10-10,2025-10-10,Completed,True
TSK-00042,Monthly Client Health Report,Ops Lead,2025-10-10,2025-10-11,Completed,True
TSK-00043,Weekly Leadership Dashboard,Data Analyst,2025-10-17,2025-10-18,Completed,True
TSK-00044,Close Rate Tracker,Data Analyst,2025-10-17,2025-10-17,Completed,True
TSK-00045,Retention Cohort Report,Data Analyst,2025-10-17,2025-10-17,Completed,True
TSK-00046,Escalation Log Review,Data Analyst,2025-10-17,2025-10-17,Completed,True
TSK-00047,Recruiter Funnel Snapshot,Data Analyst,2025-10-17,2025-10-17,Completed,True
TSK-00048,Monthly Client Health Report,Ops Lead,2025-10-17,2025-10-19,Completed,False
TSK-00049,Weekly Leadership Dashboard,Data Analyst,2025-10-24,2025-10-24,Completed,True
TSK-00050,Close Rate Tracker,Data Analyst,2025-10-24,2025-10-23,Completed,True
TSK-00051,Retention Cohort Report,Data Analyst,2025-10-24,2025-10-23,Completed,True
TSK-00052,Escalation Log Review,Data Analyst,2025-10-24,2025-10-24,Completed,True
TSK-00053,Recruiter Funnel Snapshot,Data Analyst,2025-10-24,2025-10-23,Completed,True
TSK-00054,Monthly Client Health Report,Ops Lead,2025-10-24,2025-10-27,Completed,False
TSK-00055,Weekly Leadership Dashboard,Data Analyst,2025-10-31,2025-10-30,Completed,True
TSK-00056,Close Rate Tracker,Data Analyst,2025-10-31,2025-10-31,Completed,True
TSK-00057,Retention Cohort Report,Data Analyst,2025-10-31,2025-10-31,Completed,True
TSK-00058,Escalation Log Review,Data Analyst,2025-10-31,2025-10-30,Completed,True
TSK-00059,Recruiter Funnel Snapshot,Data Analyst,2025-10-31,2025-11-01,Completed,True
TSK-00060,Monthly Client Health Report,Ops Lead,2025-10-31,2025-10-31,Completed,True
TSK-00061,Weekly Leadership Dashboard,Data Analyst,2025-11-07,2025-11-10,Completed,False
TSK-00062,Close Rate Tracker,Data Analyst,2025-11-07,2025-11-08,Completed,True
TSK-00063,Retention Cohort Report,Data Analyst,2025-11-07,2025-11-13,Completed,False
TSK-00064,Escalation Log Review,Data Analyst,2025-11-07,2025-11-06,Completed,True
TSK-00065,Recruiter Funnel Snapshot,Data Analyst,2025-11-07,2025-11-07,Completed,True
TSK-00066,Monthly Client Health Report,Ops Lead,2025-11-07,2025-11-07,Completed,True
TSK-00067,Weekly Leadership Dashboard,Data Analyst,2025-11-14,2025-11-17,Completed,False
TSK-00068,Close Rate Tracker,Data Analyst,2025-11-14,2025-11-15,Completed,True
TSK-00069,Retention Cohort Report,Data Analyst,2025-11-14,2025-11-15,Completed,True
TSK-00070,Escalation Log Review,Data Analyst,2025-11-14,2025-11-15,Completed,True
TSK-00071,Recruiter Funnel Snapshot,Data Analyst,2025-11-14,2025-11-14,Completed,True
TSK-00072,Monthly Client Health Report,Ops Lead,2025-11-14,2025-11-20,Completed,False
TSK-00073,Weekly Leadership Dashboard,Data Analyst,2025-11-21,2025-11-22,Completed,True
TSK-00074,Close Rate Tracker,Data Analyst,2025-11-21,2025-11-21,Completed,True
TSK-00075,Retention Cohort Report,Data Analyst,2025-11-21,2025-11-20,Completed,True
TSK-00076,Escalation Log Review,Data Analyst,2025-11-21,2025-11-20,Completed,True
TSK-00077,Recruiter Funnel Snapshot,Data Analyst,2025-11-21,2025-11-22,Completed,True
TSK-00078,Monthly Client Health Report,Ops Lead,2025-11-21,2025-11-20,Completed,True
TSK-00079,Weekly Leadership Dashboard,Data Analyst,2025-11-28,2025-11-27,Completed,True
TSK-00080,Close Rate Tracker,Data Analyst,2025-11-28,2025-11-27,Completed,True
TSK-00081,Retention Cohort Report,Data Analyst,2025-11-28,2025-11-29,Completed,True
TSK-00082,Escalation Log Review,Data Analyst,2025-11-28,2025-11-29,Completed,True
TSK-00083,Recruiter Funnel Snapshot,Data Analyst,2025-11-28,2025-11-28,Completed,True
TSK-00084,Monthly Client Health Report,Ops Lead,2025-11-28,2025-11-27,Completed,True
TSK-00085,Weekly Leadership Dashboard,Data Analyst,2025-12-05,2025-12-05,Completed,True
TSK-00086,Close Rate Tracker,Data Analyst,2025-12-05,2025-12-04,Completed,True
TSK-00087,Retention Cohort Report,Data Analyst,2025-12-05,2025-12-10,Completed,False
TSK-00088,Escalation Log Review,Data Analyst,2025-12-05,2025-12-05,Completed,True
TSK-00089,Recruiter Funnel Snapshot,Data Analyst,2025-12-05,2025-12-06,Completed,True
TSK-00090,Monthly Client Health Report,Ops Lead,2025-12-05,2025-12-09,Completed,False
TSK-00091,Weekly Leadership Dashboard,Data Analyst,2025-12-12,2025-12-13,Completed,True
TSK-00092,Close Rate Tracker,Data Analyst,2025-12-12,2025-12-16,Completed,False
TSK-00093,Retention Cohort Report,Data Analyst,2025-12-12,2025-12-11,Completed,True
TSK-00094,Escalation Log Review,Data Analyst,2025-12-12,2025-12-12,Completed,True
TSK-00095,Recruiter Funnel Snapshot,Data Analyst,2025-12-12,2025-12-12,Completed,True
TSK-00096,Monthly Client Health Report,Ops Lead,2025-12-12,2025-12-14,Completed,False
TSK-00097,Weekly Leadership Dashboard,Data Analyst,2025-12-19,2025-12-19,Completed,True
TSK-00098,Close Rate Tracker,Data Analyst,2025-12-19,2025-12-19,Completed,True
TSK-00099,Retention Cohort Report,Data Analyst,2025-12-19,2025-12-19,Completed,True
TSK-00100,Escalation Log Review,Data Analyst,2025-12-19,2025-12-20,Completed,True
TSK-00101,Recruiter Funnel Snapshot,Data Analyst,2025-12-19,2025-12-24,Completed,False
TSK-00102,Monthly Client Health Report,Ops Lead,2025-12-19,2025-12-19,Completed,True
TSK-00103,Weekly Leadership Dashboard,Data Analyst,2025-12-26,2025-12-27,Completed,True
TSK-00104,Close Rate Tracker,Data Analyst,2025-12-26,2025-12-25,Completed,True
TSK-00105,Retention Cohort Report,Data Analyst,2025-12-26,2025-12-26,Completed,True
TSK-00106,Escalation Log Review,Data Analyst,2025-12-26,2026-01-01,Completed,False
TSK-00107,Recruiter Funnel Snapshot,Data Analyst,2025-12-26,2025-12-28,Completed,False
TSK-00108,Monthly Client Health Report,Ops Lead,2025-12-26,2026-01-01,Completed,False
TSK-00109,Weekly Leadership Dashboard,Data Analyst,2026-01-02,2026-01-01,Completed,True
TSK-00110,Close Rate Tracker,Data Analyst,2026-01-02,2026-01-03,Completed,True
TSK-00111,Retention Cohort Report,Data Analyst,2026-01-02,2026-01-07,Completed,False
TSK-00112,Escalation Log Review,Data Analyst,2026-01-02,2026-01-02,Completed,True
TSK-00113,Recruiter Funnel Snapshot,Data Analyst,2026-01-02,2026-01-01,Completed,True
TSK-00114,Monthly Client Health Report,Ops Lead,2026-01-02,2026-01-02,Completed,True
TSK-00115,Weekly Leadership Dashboard,Data Analyst,2026-01-09,2026-01-09,Completed,True
TSK-00116,Close Rate Tracker,Data Analyst,2026-01-09,2026-01-09,Completed,True
TSK-00117,Retention Cohort Report,Data Analyst,2026-01-09,2026-01-13,Completed,False
TSK-00118,Escalation Log Review,Data Analyst,2026-01-09,2026-01-10,Completed,True
TSK-00119,Recruiter Funnel Snapshot,Data Analyst,2026-01-09,2026-01-08,Completed,True
TSK-00120,Monthly Client Health Report,Ops Lead,2026-01-09,2026-01-08,Completed,True
TSK-00121,Weekly Leadership Dashboard,Data Analyst,2026-01-16,2026-01-17,Completed,True
TSK-00122,Close Rate Tracker,Data Analyst,2026-01-16,2026-01-21,Completed,False
TSK-00123,Retention Cohort Report,Data Analyst,2026-01-16,2026-01-17,Completed,True
TSK-00124,Escalation Log Review,Data Analyst,2026-01-16,2026-01-21,Completed,False
TSK-00125,Recruiter Funnel Snapshot,Data Analyst,2026-01-16,2026-01-17,Completed,True
TSK-00126,Monthly Client Health Report,Ops Lead,2026-01-16,2026-01-15,Completed,True
TSK-00127,Weekly Leadership Dashboard,Data Analyst,2026-01-23,2026-01-23,Completed,True
TSK-00128,Close Rate Tracker,Data Analyst,2026-01-23,2026-01-22,Completed,True
TSK-00129,Retention Cohort Report,Data Analyst,2026-01-23,2026-01-23,Completed,True
TSK-00130,Escalation Log Review,Data Analyst,2026-01-23,2026-01-24,Completed,True
TSK-00131,Recruiter Funnel Snapshot,Data Analyst,2026-01-23,2026-01-23,Completed,True
TSK-00132,Monthly Client Health Report,Ops Lead,2026-01-23,2026-01-23,Completed,True
TSK-00133,Weekly Leadership Dashboard,Data Analyst,2026-01-30,2026-02-01,Completed,False
TSK-00134,Close Rate Tracker,Data Analyst,2026-01-30,2026-01-31,Completed,True
TSK-00135,Retention Cohort Report,Data Analyst,2026-01-30,2026-01-30,Completed,True
TSK-00136,Escalation Log Review,Data Analyst,2026-01-30,2026-01-29,Completed,True
TSK-00137,Recruiter Funnel Snapshot,Data Analyst,2026-01-30,2026-01-30,Completed,True
TSK-00138,Monthly Client Health Report,Ops Lead,2026-01-30,2026-02-02,Completed,False
TSK-00139,Weekly Leadership Dashboard,Data Analyst,2026-02-06,2026-02-05,Completed,True
TSK-00140,Close Rate Tracker,Data Analyst,2026-02-06,2026-02-06,Completed,True
TSK-00141,Retention Cohort Report,Data Analyst,2026-02-06,2026-02-06,Completed,True
